OBJECTID,OrganizationId,ESDCode,ESDNum,ESDName,LEACode,LEAName,ShortName,Label,PhysicalAddress,MailingAddress,AdministratorName,AdministratorEmail,Phone,Website,County,Counties,CongressionalDistricts,LegislativeDistricts,Type,TransportationRegion,Shape__Area,Shape__Length
151,100246,34801,113,Capital Region ESD 113,23042,Southside School District,Southside,,"161 SE COLLIER RD, SHELTON, Washington, 98584-8367","161 SE COLLIER RD, SHELTON, Washington, 98584-8367",Doris C Bolender,DBolender@southsideschool.org,(360)426-8437,https://southsideschool.org/,Mason,Mason,10,35,Public School District,1,277247479.549927,76748.8858135723
152,100099,34801,113,Capital Region ESD 113,23054,Grapeview School District,Grapeview,,"822 E MASON BENSON RD, GRAPEVIEW, Washington, 98546-9514","822 E MASON BENSON RD, GRAPEVIEW, Washington, 98546-9514",Kurt  Hilyard,khilyard@gsd54.org,(360)426-4921,https://www.gsd54.org/,Mason,Mason,6,35,Public School District,1,885789336.686951,160290.082847057
153,100235,34801,113,Capital Region ESD 113,23309,Shelton School District,Shelton,,"700 S 1ST ST, SHELTON, Washington, 98584-3602","700 S 1ST ST, SHELTON, Washington, 98584-3602",Alex  Apostle,aapostle@sheltonschools.org,(360)426-8231,https://www.sheltonschools.org/,Mason,Mason,"6, 10",35,Public School District,1,4560196297.73688,380206.559738847
154,100140,34801,113,Capital Region ESD 113,23311,Mary M Knight School District,Mary M Knight,,"2987 W MATLOCK BRADY RD, ELMA, Washington, 98541-9713","2987 W MATLOCK BRADY RD, ELMA, Washington, 98541-9713",Matthew  Mallery,mmallery@mmk.wednet.edu,(360)426-6767,https://www.marymknight.com/,Mason,"Grays Harbor, Mason",6,"22, 35",Public School District,1,4984535990.4408,340380.895909382
155,100200,34801,113,Capital Region ESD 113,23402,Pioneer School District,Pioneer,,"112 E. Spencer Lake Road, SHELTON, Washington, 98584","112 E. Spencer Lake Road, SHELTON, Washington, 98584-7306",Jill  Diehl,jdiehl@psd402.org,(360)426-9115,https://www.psd402.org,Mason,Mason,6,35,Public School District,1,2509997930.24902,265523.165331071
156,100170,18801,114,Olympic Educational Service District 114,23403,North Mason School District,North Mason,,"250 East Campus Drive, Belfair, Washington, 98528","250 East Campus Drive, Belfair, Washington, 98528",Dana  Rosenbach,drosenbach@northmasonschools.org,(360)277-2300,https://www.northmasonschools.org/,Mason,"Kitsap, Mason",6,35,Public School District,2,4322082707.04901,306918.756639708
157,100107,34801,113,Capital Region ESD 113,23404,Hood Canal School District,Hood Canal,,"111 N STATE ROUTE 106, SHELTON, Washington, 98584-9703","111 N STATE ROUTE 106, SHELTON, Washington, 98584-9703",Nicola  Grubbs,ngrubbs@hoodcanalschool.org,(360)877-5463,https://www.hoodcanal.wednet.edu/,Mason,Mason,6,35,Public School District,1,12901199795.8307,571719.238735765
158,100163,04801,171,North Central Educational Service District 171,24014,Nespelem School District #14,Nespelem #14,,"229 SCHOOLHOUSE LOOP RD, NESPELEM, Washington, 99155-0291","PO BOX 291, NESPELEM, Washington, 99155-0291",Effie  Dean,edean@nsdeagles.org,(509)634-4541,https://www.nsdeagles.org,Okanogan,Okanogan,4,12,Public School District,5,11316663529.4248,513807.597384979
159,100183,04801,171,North Central Educational Service District 171,24019,Omak School District,Omak,,"619 W BARTLETT AVE, OMAK, Washington, 98841-9700","PO BOX 833, OMAK, Washington, 98841-9700",Michael L Porter,mporter@omaksd.org,(509)826-0320,http://www.omaksd.org/,Okanogan,Okanogan,4,"7, 12",Public School District,4,13868001829.213,792876.50349794
160,100181,04801,171,North Central Educational Service District 171,24105,Okanogan School District,Okanogan,,"115 ROSE ST., OKANOGAN, Washington, 98840-0592","PO BOX 592, OKANOGAN, Washington, 98840-0592",Ashley  Goetz,agoetz@oksd.wednet.edu,(509)422-3629,https://www.oksd.wednet.edu,Okanogan,Okanogan,4,7,Public School District,4,15869520304.5944,657087.243852075
161,100027,04801,171,North Central Educational Service District 171,24111,Brewster School District,Brewster,,"520 W Main, BREWSTER, Washington, 98812-0097","P.O. Box 97, Brewster, Washington, 98812",Eric  Driessen,edriessen@brewsterbears.org,(509)689-3418,https://www.brewsterbears.org/,Okanogan,"Douglas, Okanogan",4,12,Public School District,4,5162792666.86462,422482.902909217
162,100196,04801,171,North Central Educational Service District 171,24122,Pateros School District,Pateros,,"344 W BEACH ST, PATEROS, Washington, 98846-0098","PO BOX 98, PATEROS, Washington, 98846-0098",Greg  Goodnight,ggoodnight@pateros.org,(509)923-2751,https://www.pateros.org/,Okanogan,"Chelan, Okanogan","4, 8",12,Public School District,4,6937903912.85986,570112.637740824
163,100148,04801,171,North Central Educational Service District 171,24350,Methow Valley School District,Methow Valley,,"18 TWIN LAKES RD, WINTHROP, Washington, 98862-9713","18 TWIN LAKES RD, WINTHROP, Washington, 98862-9713",Tom  Venable,tvenable@methow.org,(509)996-9205,https://methow.org/,Okanogan,Okanogan,4,12,Public School District,4,47803558598.6929,1195393.75838545
164,100268,04801,171,North Central Educational Service District 171,24404,Tonasket School District,Tonasket,,"35 DO E HIGHWAY 20, TONASKET, Washington, 98855-9601","35 DO HIGHWAY 20 EAST, TONASKET, Washington, 98855-9601",Steven  McCullough,smccullough@tonasket.wednet.edu,(509)486-2126,http://www.tonasket.wednet.edu,Okanogan,Okanogan,4,7,Public School District,4,34946422756.2944,1172858.87353452
165,100190,04801,171,North Central Educational Service District 171,24410,Oroville School District,Oroville,,"816 JUNIPER, OROVILLE, Washington, 98844-0000","816 JUNIPER, OROVILLE, Washington, 98844-0000",Jeff  Hardesty,jeff.hardesty@oroville.wednet.edu,(509)476-2281,https://oroville.wednet.edu,Okanogan,Okanogan,4,7,Public School District,4,9737856281.60474,535896.260823524
166,100178,06801,112,Educational Service District 112,25101,Ocean Beach School District,Ocean Beach,,"500 Washington Ave S, Long Beach, Washington, 98631-0000","PO Box 778, Long Beach, Washington, 98631-0778",Amy  Huntley,amy.huntley@oceanbeachschools.org,(360)642-3739,https://www.ocean.k12.wa.us/,Pacific,Pacific,3,19,Public School District,1,9548577043.70589,531243.670369186
167,100214,34801,113,Capital Region ESD 113,25116,Raymond School District,Raymond,,"1016 COMMERCIAL ST, RAYMOND, Washington, 98577-2631","1016 COMMERCIAL ST, RAYMOND, Washington, 98577-2631",Steve  Holland,sholland@raymondk12.org,(360)942-3415,https://raymondk12.org/,Pacific,Pacific,3,19,Public School District,1,2630913174.62506,363006.852555959
168,100242,34801,113,Capital Region ESD 113,25118,South Bend School District,South Bend,,"405 E 1ST, SOUTH BEND, Washington, 98586-0437","PO BOX 437, SOUTH BEND, Washington, 98586-0437",Jon  Tienhaara,jtienhaa@southbendschools.org,(360)875-6041,https://www.southbend.wednet.edu/,Pacific,Pacific,3,19,Public School District,1,4214094934.81985,375241.444361591
169,100162,06801,112,Educational Service District 112,25155,Naselle-Grays River Valley School District,Naselle-Grays River Valley,,"793 STATE ROUTE 4, NASELLE, Washington, 98638-8541","793 STATE ROUTE 4, NASELLE, Washington, 98638-8541",Lisa  Nelson,lnelson@naselleschools.org,(360)484-7121,http://www.naselle.wednet.edu/,Pacific,"Pacific, Wahkiakum",3,19,Public School District,1,7710090077.55597,531869.635112176
170,100297,34801,113,Capital Region ESD 113,25160,Willapa Valley School District,Willapa Valley,,"22 VIKING WAY, MENLO, Washington, 98561-9998","PO BOX 128, MENLO, Washington, 98561-9998",Nancy  Morris,nancym@willapavalley.org,(360)942-5855,https://www.willapavalley.org/,Pacific,Pacific,3,19,Public School District,1,8071217917.28787,455787.309530831
171,100171,34801,113,Capital Region ESD 113,25200,North River School District,North River,,"2867 N RIVER RD, COSMOPOLIS, Washington, 98537-9743","2867 N RIVER RD, COSMOPOLIS, Washington, 98537-9743",Lindsey  Maehlum,lmaehlum@nr.k12.wa.us,(360)532-3079,http://www.nr.k12.wa.us/,Pacific,"Grays Harbor, Pacific","3, 6",19,Public School District,1,3409261409.12735,311327.115021815
172,100164,32801,101,Educational Service District 101,26056,Newport School District,Newport,,"1380 W 5TH, NEWPORT, Washington, 99156-0070","PO BOX 70, NEWPORT, Washington, 99156-0070",David E. Smith,smithdave@newportgriz.com,(509)447-3167 Ext.4501,https://www.newportgriz.com/,Pend Oreille,"Pend Oreille, Spokane",5,7,Public School District,5,10108357027.2266,724407.319721304
173,100062,32801,101,Educational Service District 101,26059,Cusick School District,Cusick,,"305 MONUMENTAL WAY, CUSICK, Washington, 99119-9761","305 MONUMENTAL WAY, CUSICK, Washington, 99119-9761",Don  Hawpe,dhawpe@cusick.wednet.edu,(509)445-1125,https://www.cusick.wednet.edu/,Pend Oreille,Pend Oreille,5,7,Public School District,5,12855909489.2988,596399.882256633
174,100232,32801,101,Educational Service District 101,26070,Selkirk School District,Selkirk,,"219 Park St, METALINE FALLS, Washington, 99153-0129","PO BOX 129, METALINE FALLS, Washington, 99153-0129",Nancy  Lotze,nlotze@selkirkschools.org,(509)446-2951,https://www.selkirkschools.org,Pend Oreille,Pend Oreille,5,7,Public School District,5,16474978428.01,601060.097515922
175,100254,17801,121,Puget Sound Educational Service District 121,27001,Steilacoom Hist. School District,Steilacoom Hist.,,"511 CHAMBERS ST, STEILACOOM, Washington, 98388-3311","511 CHAMBERS ST, STEILACOOM, Washington, 98388-3311",Kathi  Weight,kweight@steilacoom.k12.wa.us,(253)983-2200,https://www.steilacoom.k12.wa.us/,Pierce,Pierce,10,28,Public School District,2,1611253960.20361,228936.748058638
176,100207,17801,121,Puget Sound Educational Service District 121,27003,Puyallup School District,Puyallup,,"302 2ND ST SE, PUYALLUP, Washington, 98372-3220","PO BOX 370, PUYALLUP, Washington, 98372-3220",John A Polm Jr.,polmjja@puyallup.k12.wa.us,(253)840-8950,https://www.puyallup.k12.wa.us/,Pierce,Pierce,"8, 10","2, 25, 31",Public School District,2,1497192839.76746,254565.474046815
177,100261,17801,121,Puget Sound Educational Service District 121,27010,Tacoma School District,Tacoma,,"601 S 8TH , TACOMA, Washington, 98401-1357","PO BOX 1357, TACOMA, Washington, 98401-1357",Carla  Santorno,Csantor@tacoma.k12.wa.us,(253)571-1010,https://www.tacomaschools.org/,Pierce,Pierce,"6, 9, 10","27, 28, 29",Public School District,2,1938058932.9162,242871.589542754
178,100033,17801,121,Puget Sound Educational Service District 121,27019,Carbonado School District,Carbonado,,"427 4TH ST, CARBONADO, Washington, 98323-0131","PO BOX 131, CARBONADO, Washington, 98323-0131",Jessie  Sprouse,jsprouse@carbonado.k12.wa.us,(360)829-0121,https://www.carbonado.k12.wa.us/,Pierce,Pierce,8,31,Public School District,2,4335082637.8783,421493.644206738
179,100275,17801,121,Puget Sound Educational Service District 121,27083,University Place School District,University Place,,"3717 GRANDVIEW DR W, UNIVERSITY PLACE, Washington, 98466-2138","3717 GRANDVIEW DR W, UNIVERSITY PLACE, Washington, 98466-2138",Jeff  Chamberlin,jchamberlin@upsd83.org,(253)566-5600,https://www.upsd83.org,Pierce,Pierce,10,28,Public School District,2,269605506.649719,95025.4214544297
180,100259,17801,121,Puget Sound Educational Service District 121,27320,Sumner School District,Sumner,,"1202 WOOD AVE, SUMNER, Washington, 98390-1933","1202 WOOD AVE, SUMNER, Washington, 98390-1933",Laurie  Dent,laurie_Dent@sumnersd.org,(253)891-6080,https://www.sumnersd.org,Pierce,Pierce,"8, 10",31,Public School District,2,983167925.739319,250516.423124757
181,100068,17801,121,Puget Sound Educational Service District 121,27343,Dieringer School District,Dieringer,,"1320 178TH AVE E, Lake Tapps, Washington, 98391-6411","1320 178TH AVE E, Lake Tapps, Washington, 98391-6411",Michael  Farmer,mfarmer@dieringer.wednet.edu,(253)862-2537,https://www.dieringer.wednet.edu/,Pierce,Pierce,"8, 10",31,Public School District,2,363306769.37146,141274.665159518
182,100191,17801,121,Puget Sound Educational Service District 121,27344,Orting School District,Orting,,"121 Whitesell St NE, ORTING, Washington, 98360-8403","121 Whitesell St NE, ORTING, Washington, 98360-8403",Tony  Apostle,apostlet@orting.wednet.edu,(360)893-6500,https://www.ortingschools.org/,Pierce,Pierce,8,2,Public School District,2,1284495298.80298,220980.957873193
183,100047,17801,121,Puget Sound Educational Service District 121,27400,Clover Park School District,Clover Park,,"10903 GRAVELLY LAKE DR SW, LAKEWOOD, Washington, 98499-1341","10903 GRAVELLY LAKE DR SW, LAKEWOOD, Washington, 98499-1341",Ron  Banner,rbanner@cloverpark.k12.wa.us,(253)583-5060,http://www.cloverpark.k12.wa.us/,Pierce,Pierce,10,"28, 29",Public School District,2,1823107470.94946,284326.684264556
184,100199,17801,121,Puget Sound Educational Service District 121,27401,Peninsula School District,Peninsula,,"14015 62ND AVE NW, GIG HARBOR, Washington, 98332-8698","14015 62ND AVE NW, GIG HARBOR, Washington, 98332-8698",Arthur  Jarvis,jarvisa@psd401.net,(253)530-1002,https://www.psd401.net/,Pierce,Pierce,6,26,Public School District,2,4892585886.6778,333285.43463474
185,100090,17801,121,Puget Sound Educational Service District 121,27402,Franklin Pierce School District,Franklin Pierce,,"315 129TH ST S, TACOMA, Washington, 98444-5099","315 129TH ST S, TACOMA, Washington, 98444-5099",Lance  Goodpaster,lgoodpaster@fpschools.org,(253)298-3010,https://www.fpschools.org/,Pierce,Pierce,10,"25, 29",Public School District,2,581528618.964478,129739.496949564
186,100022,17801,121,Puget Sound Educational Service District 121,27403,Bethel School District,Bethel,,"516 176th St E, Spanaway, Washington, 98387","516 176th St E, Spanaway, Washington, 98387",Tom  Seigel,tseigel@bethelsd.org,(253)800-6010,https://www.bethelsd.org/,Pierce,Pierce,"8, 10","2, 28, 29",Public School District,2,5676147738.03369,504829.430665303
187,100074,17801,121,Puget Sound Educational Service District 121,27404,Eatonville School District,Eatonville,,"200 LYNCH ST W, EATONVILLE, Washington, 98328-0698","PO BOX 698, EATONVILLE, Washington, 98328-0698",Krestin  Bahr,k.bahr@eatonville.wednet.edu,(360)879-1000,https://www.eatonville.wednet.edu/,Pierce,"Lewis, Pierce","3, 8",2,Public School District,2,12555590500.4426,770337.060936935
188,100294,17801,121,Puget Sound Educational Service District 121,27416,White River School District,White River,,"240 N A ST, BUCKLEY, Washington, 98321-2050","PO BOX 2050, BUCKLEY, Washington, 98321-2050",Janel  Keating,jkeating@whiteriver.wednet.edu,(360)829-3814,https://www.whiteriver.wednet.edu,Pierce,Pierce,8,31,Public School District,2,11335058103.7037,670051.541345879
189,100088,17801,121,Puget Sound Educational Service District 121,27417,Fife School District,Fife,,"5802 20TH ST E, TACOMA, Washington, 98424-2000","5802 20TH ST E, TACOMA, Washington, 98424-2000",Kevin  Alfano,kalfano@fifeschools.com,(253)517-1000,https://www.fifeschools.com,Pierce,"King, Pierce","8, 9, 10","25, 30, 31",Public School District,2,334541918.89386,122678.60249536
190,100234,29801,189,Northwest Educational Service District 189,28010,Shaw Island School District,Shaw Island,,"44 HOFFMAN COVE RD, SHAW ISLAND, Washington, 98286-0426","PO BOX 426, SHAW ISLAND, Washington, 98286-0426",Jennifer  Swanson,jswanson@shaw.k12.wa.us,(360)468-2570,https://www.shawislandschool.org/,San Juan,San Juan,2,40,Public School District,3,474529695.481323,96891.7027160389
191,100186,29801,189,Northwest Educational Service District 189,28137,Orcas Island School District,Orcas Island,,"557 SCHOOL RD, EASTSOUND, Washington, 98245-9457","557 SCHOOL RD, EASTSOUND, Washington, 98245-9457",Eric   Webb,ewebb@orcas.k12.wa.us,(360)376-1501,http://www.orcasislandschools.org,San Juan,San Juan,2,40,Public School District,3,6374118314.005,357590.712031604
192,100134,29801,189,Northwest Educational Service District 189,28144,Lopez School District,Lopez,,"86 SCHOOL RD, LOPEZ ISLAND, Washington, 98261-8000","86 SCHOOL RD, LOPEZ ISLAND, Washington, 98261-8000",Brian   Auckland ,bauckland@lopezislandschool.org,(360)468-2202,https://www.lopezislandschool.org/,San Juan,San Juan,2,40,Public School District,3,3275747760.4093,238603.363173093
193,100227,29801,189,Northwest Educational Service District 189,28149,San Juan Island School District,San Juan Island,,"285 BLAIR STREET, FRIDAY HARBOR, Washington, 98250-0458","PO BOX 458, FRIDAY HARBOR, Washington, 98250-0458",Calvin Frederick Woods,fredwoods@sjisd.org,(360)370-7905,https://www.sjisd.wednet.edu,San Juan,San Juan,2,40,Public School District,3,7227799057.01453,439863.138160976
194,100054,29801,189,Northwest Educational Service District 189,29011,Concrete School District,Concrete,,"45389 AIRPORT WAY , CONCRETE, Washington, 98237-9355","45389 AIRPORT WAY , CONCRETE, Washington, 98237-9355",Wayne Paul Barrett,wbarrett@concrete.k12.wa.us,(360)853-4000,https://www.concrete.k12.wa.us/,Skagit,"Skagit, Whatcom",1,39,Public School District,3,53476511770.7781,1605157.36506518
195,100030,29801,189,Northwest Educational Service District 189,29100,Burlington-Edison School District,Burlington-Edison,,"927 E FAIRHAVEN AVE, BURLINGTON, Washington, 98233-1900","927 E FAIRHAVEN AVE, BURLINGTON, Washington, 98233-1900",Laurel W Browning,lbrowning@be.wednet.edu,(360)757-3311,https://www.be.wednet.edu,Skagit,Skagit,2,"10, 40",Public School District,3,4234116722.65198,291865.312483112
196,100230,29801,189,Northwest Educational Service District 189,29101,Sedro-Woolley School District,Sedro-Woolley,,"801 TRAIL RD, SEDRO WOOLLEY, Washington, 98284-9387","801 TRAIL RD, SEDRO WOOLLEY, Washington, 98284-9387",Phil  Brockman,pbrockman@swsd.k12.wa.us,(360)855-3500,https://www.swsd.k12.wa.us/,Skagit,"Skagit, Whatcom","1, 2","10, 39",Public School District,3,11567084689.4929,636661.685637486
197,100013,29801,189,Northwest Educational Service District 189,29103,Anacortes School District,Anacortes,,"2200 M AVE, ANACORTES, Washington, 98221-3794","2200 M AVE, ANACORTES, Washington, 98221-3794",Justin  Irish,jirish@asd103.org,(360)503-1210,http://www.asd103.org/,Skagit,Skagit,2,"10, 40",Public School District,3,3874300172.03931,258316.404322269
198,100123,29801,189,Northwest Educational Service District 189,29311,La Conner School District,La Conner,,"305 N 6TH ST, LA CONNER, Washington, 98257-2103","PO BOX 2103, LA CONNER, Washington, 98257-2103",Whitney  Meissner,wmeissner@lc.k12.wa.us,(360)466-3171,https://www.lcsd.wednet.edu/,Skagit,Skagit,2,10,Public School District,3,1379183092.57605,175187.927682897
199,100055,29801,189,Northwest Educational Service District 189,29317,Conway School District,Conway,,"19710 STATE ROUTE 534, MOUNT VERNON, Washington, 98274-8026","19710 STATE ROUTE 534, MOUNT VERNON, Washington, 98274-8026",Jeff  Cravy,jcravy@conway.k12.wa.us,(360)445-5785,https://www.conway.k12.wa.us,Skagit,Skagit,1,10,Public School District,3,1972021957.6261,215442.348513434
200,100158,29801,189,Northwest Educational Service District 189,29320,Mount Vernon School District,Mount Vernon,,"124 E LAWRENCE ST, MOUNT VERNON, Washington, 98273-2999","124 E LAWRENCE ST, MOUNT VERNON, Washington, 98273-2999",Ismael  Vivanco,ivivanco@mvsd320.org,(360)428-6181,http://www.mv.k12.wa.us,Skagit,Skagit,"1, 2","10, 40",Public School District,3,1072206822.88074,182508.138606011
201,100237,06801,112,Educational Service District 112,30002,Skamania School District,Skamania,,"122 BUTLER LOOP RD, SKAMANIA, Washington, 98648-6021","122 BUTLER LOOP RD, SKAMANIA, Washington, 98648-6021",Ralph H. Pruitt,rpruitt@skamania.k12.wa.us,(509)427-8239,https://skamaniaschooldistrict.org/,Skamania,Skamania,3,14,Public School District,1,6335867135.88895,727835.864309828
202,100157,06801,112,Educational Service District 112,30029,Mount Pleasant School District,Mount Pleasant,,"152 MARBLE RD, WASHOUGAL, Washington, 98671-7913","152 MARBLE RD, WASHOUGAL, Washington, 98671-7913",Vicki  Sovold-Prendergast,vicki.prendergast@mtpleasantschool.org,(360)835-3371,https://www.mtpleasantschool.org,Skamania,"Clark, Skamania",3,14,Public School District,1,212989883.265541,75695.9806871515
203,100149,06801,112,Educational Service District 112,30031,Mill A School District,Mill A,,"1142 JESSUP RD, COOK, Washington, 98605-9120","1142 JESSUP RD, COOK, Washington, 98605-9120",Bob  Rogers,brogers@millaschool.org,(509)538-2700,https://www.milla.k12.wa.us/,Skamania,Skamania,3,14,Public School District,1,1604235543.51053,176284.519862802
204,100256,06801,112,Educational Service District 112,30303,Stevenson-Carson School District,Stevenson-Carson,,"350 NW BULLDOG DR, STEVENSON, Washington, 98648","PO BOX 850, STEVENSON, Washington, 98648-0850",Ingrid  Colvard,colvardi@scsd303.org,(509)427-5674,http://www.scsd303.org/,Skamania,Skamania,3,14,Public School District,1,29282009193.4302,1216737.03748795
205,100083,29801,189,Northwest Educational Service District 189,31002,Everett School District,Everett,,"3900 Broadway, Everett, Washington, 98201-5033","PO BOX 2098, Everett, Washington, 98213-2999",Ian  Saltzman,ISaltzman@everettsd.org,(425)385-4019,https://www.everettsd.org,Snohomish,Snohomish,"1, 2","1, 21, 38, 39, 44",Public School District,3,1537529217.70203,296363.489298341
206,100126,29801,189,Northwest Educational Service District 189,31004,Lake Stevens School District,Lake Stevens,,"12309 22ND ST NE, LAKE STEVENS, Washington, 98258","12309 22ND ST NE, LAKE STEVENS, Washington, 98258",Amy Beth  Cook,amybeth_cook@lkstevens.wednet.edu,(425)335-1500,https://www.lkstevens.wednet.edu/,Snohomish,Snohomish,"1, 2",44,Public School District,3,799283449.148193,147299.804341526
207,100159,29801,189,Northwest Educational Service District 189,31006,Mukilteo School District,Mukilteo,,"9401 SHARON DR, EVERETT, Washington, 98204-2699","9401 SHARON DR, EVERETT, Washington, 98204-2699",Alison  Brynelson,BrynelsonAX@mukilteo.wednet.edu,(425)356-1220,https://www.mukilteoschools.org,Snohomish,Snohomish,2,"21, 38",Public School District,3,1352751467.40778,203931.798006605
208,100075,29801,189,Northwest Educational Service District 189,31015,Edmonds School District,Edmonds,,"20420 68TH AVE W, LYNNWOOD, Washington, 98036-7400","20420 68TH AVE W, LYNNWOOD, Washington, 98036-7400",Gustavo  Balderas,balderasg@edmonds.wednet.edu,(425)431-7003,https://www.edmonds.wednet.edu/,Snohomish,Snohomish,"2, 7","1, 21, 32",Public School District,3,1475527532.4903,166353.97941746
209,100014,29801,189,Northwest Educational Service District 189,31016,Arlington School District,Arlington,,"315 N FRENCH AVE, ARLINGTON, Washington, 98223-1317","315 N FRENCH AVE, ARLINGTON, Washington, 98223-1317",Chrys  Sweeting,csweeting@asd.wednet.edu,(360)618-6200,https://www.asd.wednet.edu,Snohomish,Snohomish,"1, 2",39,Public School District,3,5216899938.68738,487948.00980884
210,100142,29801,189,Northwest Educational Service District 189,31025,Marysville School District,Marysville,,"4220 80TH ST NE, MARYSVILLE, Washington, 98270-3498","4220 80TH ST NE, MARYSVILLE, Washington, 98270-3498",Jason  Thompson,jason_thompson@msvl.k12.wa.us,(360)965-0000,https://www.msd25.org,Snohomish,Snohomish,"1, 2","38, 39, 44",Public School District,3,2335284494.8894,303675.409692122
211,100110,29801,189,Northwest Educational Service District 189,31063,Index School District,Index,,"436 INDEX AVE, INDEX, Washington, 98256","PO BOX 237, INDEX, Washington, 98256-0237",Bradley T Jernberg,bjernberg@index.k12.wa.us,(360)793-1330,https://www.index.k12.wa.us/,Snohomish,Snohomish,1,39,Public School District,3,3611399754.85547,312791.438719636
212,100150,29801,189,Northwest Educational Service District 189,31103,Monroe School District,Monroe,,"200 E FREMONT ST, MONROE, Washington, 98272-2336","200 East Fremont Street, Monroe, Washington, 98272-2336",Justin  Blasko,Blaskoj@monroe.wednet.edu,(360)804-2500,https://www.monroe.wednet.edu/,Snohomish,Snohomish,1,"1, 32, 39",Public School District,3,2288308685.85742,289965.972589089
213,100239,29801,189,Northwest Educational Service District 189,31201,Snohomish School District,Snohomish,,"1601 AVENUE D, SNOHOMISH, Washington, 98290-1799","1601 AVENUE D, SNOHOMISH, Washington, 98290-1799",Kent  Kultgen,Kent.Kultgen@sno.wednet.edu,(360)563-7280,https://www.sno.wednet.edu/,Snohomish,Snohomish,"1, 2","1, 39, 44",Public School District,3,3575355813.69727,434888.811204332
214,100128,29801,189,Northwest Educational Service District 189,31306,Lakewood School District,Lakewood,,"17110 16TH DR NE, Marysville, Washington, 98271","PO BOX 220, NORTH LAKEWOOD, Washington, 98259-0220",Scott  Peacock,speacock@lwsd.wednet.edu,(360)652-4500,https://www.lwsd.wednet.edu/,Snohomish,Snohomish,2,38,Public School District,3,624974761.343384,126144.82518695
215,100257,29801,189,Northwest Educational Service District 189,31311,Sultan School District,Sultan,,"514 4TH ST, SULTAN, Washington, 98294-0399","514 4th Street, SULTAN, Washington, 98294-9474",Dan  Chaplik,dan.chaplik@sultan.k12.wa.us,(360)793-9800,https://www.sultanschools.org,Snohomish,Snohomish,1,39,Public School District,3,9204081904.61511,570476.765436293
216,100064,29801,189,Northwest Educational Service District 189,31330,Darrington School District,Darrington,,"1065 FIR ST, DARRINGTON, Washington, 98241-0027","PO BOX 27, DARRINGTON, Washington, 98241-0027",BUCK   MARSH,bmarsh@dsd.k12.wa.us,(360)436-1323,https://www.darringtonschools.org/,Snohomish,"Skagit, Snohomish",1,39,Public School District,3,16243974006.3562,712498.066626537
217,100098,29801,189,Northwest Educational Service District 189,31332,Granite Falls School District,Granite Falls,,"205 N Alder Avenue, Granite Falls, Washington, 98252","205 N Alder Avenue, Granite Falls, Washington, 98252-8908",Josh  Middleton,jmiddleton@gfalls.wednet.edu,(360)691-7717,https://www.gfalls.wednet.edu,Snohomish,Snohomish,1,39,Public School District,3,13061464974.6655,843399.35890708
218,100250,29801,189,Northwest Educational Service District 189,31401,Stanwood-Camano School District,Stanwood-Camano,,"26920 Pioneer Highway, Stanwood, Washington, 98292-9548","26920 Pioneer Highway, Stanwood, Washington, 98292-9548",Jean  Shumate,jshumate@stanwood.wednet.edu,(360)629-1200,https://www.stanwood.wednet.edu/,Snohomish,"Island, Snohomish",2,10,Public School District,3,4990653299.52832,374738.145729301
219,100247,32801,101,Educational Service District 101,32081,Spokane School District,Spokane,,"200 N BERNARD ST, SPOKANE, Washington, 99201-0282","200 N BERNARD ST, SPOKANE, Washington, 99201-0282",Adam  Swinyard,AdamSw@SpokaneSchools.org,(509)354-7364,https://www.spokaneschools.org,Spokane,Spokane,5,"3, 4, 6",Public School District,5,2340250459.94214,328510.930485704
220,100187,32801,101,Educational Service District 101,32123,Orchard Prairie School District,Orchard Prairie,,"7626 N. Orchard Prairie Road, SPOKANE, Washington, 99203","7626 N ORCHARD PRAIRIE RD, SPOKANE, Washington, 99217-9766",Howard  King,hking@orchardprairie.org,(509)467-9517,Not Available,Spokane,Spokane,5,4,Public School District,5,159477452.099121,57949.7046839054
221,100100,32801,101,Educational Service District 101,32312,Great Northern School District,Great Northern,,"3115 N SPOTTED RD, SPOKANE, Washington, 99224-8921","3115 N SPOTTED RD, SPOKANE, Washington, 99224-8921",Jeff  Baerwald,jbaerwald@gnsd.k12.wa.us,(509)747-7714,https://wa.greendot.org/excel/,Spokane,Spokane,5,6,Public School District,5,505342357.992676,112333.895924846
222,100165,32801,101,Educational Service District 101,32325,Nine Mile Falls School District,Nine Mile Falls,,"10110 W CHARLES RD, NINE MILE FALLS, Washington, 99026-8623","10110 W CHARLES RD, NINE MILE FALLS, Washington, 99026-8623",Brian L Talbott,btalbott@9mile.org,(509)340-4303,https://www.9mile.org,Spokane,"Spokane, Stevens",5,7,Public School District,5,2119890468.47412,346368.292354184
223,100145,32801,101,Educational Service District 101,32326,Medical Lake School District,Medical Lake,,"116 W THIRD ST, MEDICAL LAKE, Washington, 99022-0128","PO BOX 128, MEDICAL LAKE, Washington, 99022-0128",TIMOTHY D AMES,tames@mlsd.org,(509)565-3100,https://www.mlsd.org/,Spokane,Spokane,5,6,Public School District,5,2068826497.61255,325027.8312595
